    µm         	µm
  29.492	   0.267
  29.590	   0.289
  29.687	   0.319
  29.785	   0.355
  29.883	   0.380
  29.980	   0.401
  30.078	   0.420
  30.176	   0.437
  30.273	   0.454
  30.371	   0.460
  30.469	   0.474
  30.566	   0.482
  30.664	   0.492
  30.762	   0.494
  30.859	   0.503
  30.957	   0.516
  31.055	   0.517
  31.152	   0.519
  31.250	   0.527
  31.348	   0.537
  31.445	   0.547
  31.543	   0.556
  31.641	   0.572
  31.738	   0.588
  31.836	   0.596
  31.934	   0.603
  32.031	   0.606
  32.129	   0.615
  32.227	   0.629
  32.324	   0.637
  32.422	   0.631
  32.520	   0.626
  32.617	   0.638
  32.715	   0.633
  32.812	   0.626
  32.910	   0.614
  33.008	   0.596
  33.105	   0.579
  33.203	   0.540
  33.301	   0.490
  33.398	   0.416
  33.496	   0.323
  33.594	   0.221
  33.691	   0.096
  33.789	  -0.015
  33.887	  -0.104
  33.984	  -0.189
  34.082	  -0.256
  34.180	  -0.320
  34.277	  -0.369
  34.375	  -0.423
  34.473	  -0.460
  34.570	  -0.493
  34.668	  -0.522
  34.766	  -0.561
  34.863	  -0.591
  34.961	  -0.604
  35.059	  -0.627
  35.156	  -0.651
  35.254	  -0.663
  35.352	  -0.670
  35.449	  -0.668
  35.547	  -0.663
  35.645	  -0.655
  35.742	  -0.632
  35.840	  -0.603
  35.938	  -0.570
  36.035	  -0.529
  36.133	  -0.474
  36.230	  -0.419
  36.328	  -0.360
  36.426	  -0.287
  36.523	  -0.220
  36.621	  -0.152
  36.719	  -0.080
  36.816	   0.001
  36.914	   0.080
  37.012	   0.150
  37.109	   0.228
  37.207	   0.291
  37.305	   0.358
  37.402	   0.423
  37.500	   0.483
  37.598	   0.540
  37.695	   0.589
  37.793	   0.629
  37.891	   0.658
  37.988	   0.673
  38.086	   0.684
  38.184	   0.684
  38.281	   0.675
  38.379	   0.649
  38.477	   0.612
  38.574	   0.560
  38.672	   0.505
  38.770	   0.452
  38.867	   0.376
  38.965	   0.318
  39.062	   0.257
  39.160	   0.214
  39.258	   0.171
  39.355	   0.128
  39.453	   0.090
  39.551	   0.062
  39.648	   0.038
  39.746	   0.018
  39.844	  -0.010
