    µm         	nm
  12.329	-334.330
  12.368	-366.269
  12.407	-389.907
  12.446	-417.559
  12.486	-441.197
  12.525	-465.430
  12.564	-479.653
  12.603	-491.299
  12.642	-511.815
  12.681	-531.736
  12.720	-553.665
  12.760	-564.171
  12.799	-581.268
  12.838	-598.340
  12.877	-607.161
  12.916	-613.083
  12.955	-627.875
  12.994	-646.954
  13.034	-655.750
  13.073	-663.977
  13.112	-681.619
  13.151	-689.300
  13.190	-698.369
  13.229	-710.014
  13.268	-715.639
  13.308	-727.012
  13.347	-736.948
  13.386	-743.465
  13.425	-748.841
  13.464	-752.781
  13.503	-757.291
  13.542	-759.521
  13.582	-761.453
  13.621	-755.953
  13.660	-752.186
  13.699	-752.707
  13.738	-757.489
  13.777	-757.712
  13.816	-756.498
  13.855	-756.448
  13.895	-755.234
  13.934	-747.454
  13.973	-741.111
  14.012	-727.904
  14.051	-718.984
  14.090	-714.350
  14.129	-702.284
  14.169	-687.392
  14.208	-672.153
  14.247	-661.524
  14.286	-652.034
  14.325	-631.716
  14.364	-603.370
  14.403	-581.590
  14.443	-560.652
  14.482	-537.757
  14.521	-516.820
  14.560	-488.474
  14.599	-460.128
  14.638	-433.492
  14.677	-401.726
  14.717	-373.653
  14.756	-349.023
  14.795	-319.240
  14.834	-300.904
  14.873	-270.279
  14.912	-237.919
  14.951	-212.719
  14.991	-185.810
  15.030	-159.149
  15.069	-131.398
  15.108	 -99.930
  15.147	 -73.269
  15.186	 -44.353
  15.225	  -7.731
  15.265	  21.458
  15.304	  52.133
  15.343	  75.028
  15.382	 108.255
  15.421	 133.727
  15.460	 158.951
  15.499	 186.133
  15.539	 216.486
  15.578	 247.111
  15.617	 268.619
  15.656	 291.811
  15.695	 314.730
  15.734	 338.195
  15.773	 367.409
  15.812	 387.776
  15.852	 403.262
  15.891	 415.899
  15.930	 431.088
  15.969	 453.438
  16.008	 470.064
  16.047	 481.288
  16.086	 495.610
  16.126	 511.666
  16.165	 519.174
  16.204	 530.374
  16.243	 539.591
  16.282	 541.350
  16.321	 539.145
  16.360	 539.764
  16.400	 537.559
  16.439	 533.322
  16.478	 529.382
  16.517	 522.023
  16.556	 508.668
  16.595	 494.445
  16.634	 474.499
  16.674	 461.986
  16.713	 450.043
  16.752	 434.706
  16.791	 402.172
  16.830	 375.387
  16.869	 352.864
  16.908	 337.526
  16.948	 315.300
  16.987	 292.505
  17.026	 261.705
  17.065	 239.480
  17.104	 211.257
  17.143	 173.322
  17.182	 138.237
  17.222	 116.011
  17.261	  90.663
  17.300	  79.290
  17.339	  56.766
  17.378	  25.422
  17.417	   6.046
  17.456	 -11.596
  17.495	 -32.707
  17.535	 -44.055
  17.574	 -61.425
  17.613	 -83.626
  17.652	 -97.279
  17.691	-111.229
  17.730	-120.595
  17.769	-133.677
  17.809	-153.326
  17.848	-164.700
  17.887	-179.765
  17.926	-191.138
  17.965	-204.493
  18.004	-214.726
  18.043	-216.114
  18.083	-225.158
  18.122	-238.241
  18.161	-247.632
  18.200	-255.561
  18.239	-264.629
  18.278	-279.422
  18.317	-289.928
  18.357	-293.867
  18.396	-299.244
  18.435	-309.750
  18.474	-315.994
  18.513	-323.923
  18.552	-327.565
  18.591	-331.208
  18.631	-340.574
  18.670	-334.801
  18.709	-337.303
  18.748	-347.537
  18.787	-350.336
  18.826	-354.846
  18.865	-351.055
  18.905	-348.998
  18.944	-350.659
  18.983	-345.183
  19.022	-344.811
  19.061	-347.041
  19.100	-348.106
  19.139	-341.491
  19.179	-337.130
  19.218	-339.062
  19.257	-341.590
  19.296	-340.673
  19.335	-333.463
  19.374	-323.973
  19.413	-318.769
  19.452	-314.408
  19.492	-309.478
  19.531	-312.005
  19.570	-310.518
  19.609	-309.874
  19.648	-298.129
  19.687	-294.313
  19.726	-287.698
  19.766	-283.064
  19.805	-274.441
