188.20	1534.42
188.66	1534.42
189.13	1534.42
189.59	1561.54
190.06	1563.80
190.52	1527.64
190.99	1568.32
191.45	1561.54
191.91	1590.92
192.38	1606.74
192.84	1563.80
193.31	1581.88
193.77	1561.54
194.24	1584.14
194.70	1577.36
195.16	1586.40
195.63	1584.14
196.09	1516.34
196.56	1550.24
197.02	1536.68
197.48	1590.92
197.95	1633.86
198.41	1498.27
198.88	1559.28
199.34	1532.16
199.80	1529.90
200.27	1561.54
200.73	1572.84
201.19	1511.82
201.66	1568.32
202.12	1536.68
202.58	1586.40
203.05	1480.19
203.51	1511.82
203.98	1453.07
204.44	1563.80
204.90	1541.20
205.37	1520.86
205.83	1570.58
206.29	1480.19
206.75	1550.24
207.22	1541.20
207.68	1525.38
208.14	1518.60
208.61	1511.82
209.07	1502.79
209.53	1502.79
210.00	1484.71
210.46	1547.98
210.92	1500.53
211.38	1561.54
211.85	1527.64
212.31	1511.82
212.77	1557.02
213.24	1498.27
213.70	1543.46
214.16	1500.53
214.62	1570.58
215.09	1527.64
215.55	1538.94
216.01	1554.76
216.47	1534.42
216.94	1523.12
217.40	1579.62
217.86	1595.44
218.32	1557.02
218.78	1575.10
219.25	1536.68
219.71	1518.60
220.17	1532.16
220.63	1552.50
221.10	1491.49
221.56	1541.20
222.02	1563.80
222.48	1552.50
222.94	1534.42
223.40	1525.38
223.87	1536.68
224.33	1554.76
224.79	1520.86
225.25	1543.46
225.71	1570.58
226.17	1536.68
226.64	1550.24
227.10	1613.52
227.56	1502.79
228.02	1563.80
228.48	1475.67
228.94	1550.24
229.40	1547.98
229.87	1471.15
230.33	1532.16
230.79	1563.80
231.25	1552.50
231.71	1525.38
232.17	1464.37
232.63	1541.20
233.09	1545.72
233.56	1552.50
234.02	1577.36
234.48	1552.50
234.94	1563.80
235.40	1516.34
235.86	1520.86
236.32	1518.60
236.78	1599.96
237.24	1502.79
237.70	1496.01
238.16	1507.30
238.62	1509.56
239.08	1532.16
239.54	1529.90
240.01	1529.90
